Je v pořádku si to přiznat? Ne, není.
Je zdvořilé se pochlubit? Ne, není.
Je dobré chování, když se někdo pochvalně vyjádří? Ne, není.
Je to příkladné uznání? Ne, není.
Je v pořádku obdivovat? Ne, není.
Mám obdivovat? Ne, to byste neměl.
Mám ho obdivovat? Ne, to neuděláš.
Mohu obdivovat? Ne, nesmíte.
Je dovoleno obdivovat? Ne, není.
Je doporučeno obdivovat? Ne, není.
Je žádoucí obdivovat? Ne, není.
Je slušné obdivovat? Ne, není.
Je správné chování obdivovat? Ne, není.
Je příkladné obdivovat? Ne, není.
Je v pořádku klatba? Ne, není.
Mám dát do klatby? Ne, to byste neměl.
Mám dát do klatby? Ne, to neuděláš.
Mohu dát do klatby? Ne, nesmíte.
Je dovoleno anathematizovat? Ne, není.
Doporučuje se anatématizovat? Ne, není.
Je žádoucí anathematizovat? Ne, není.
Je zdvořilé dávat klatbu? Ne, není.
Je správné chování anathematizovat? Ne, není.
Je příkladné anathematizovat? Ne, není.
Je v pořádku se omluvit? Ne, není.
Mám se omluvit? Ne, to byste neměl.
Mám se omluvit? Ne, to neuděláš.
Můžu se omluvit? Ne, nesmíte.
Je dovoleno se omluvit? Ne, není.
Je doporučeno se omluvit? Ne, není.
Je žádoucí se omluvit? Ne, není.
Je slušné se omluvit? Ne, není.
Je správné se omlouvat? Ne, není.
Je příkladné se omlouvat? Ne, není.
Je v pořádku omluvit se cizímu člověku? Ne, není.
Mám se omluvit cizímu člověku? Ne, to byste neměl.
Mám se omluvit cizímu člověku? Ne, to neuděláš.
Mohu se omluvit cizímu člověku? Ne, nesmíte.
Je dovoleno omluvit se cizímu člověku? Ne, není.
Je doporučeno omluvit se cizímu člověku? Ne, není.
Je žádoucí omluvit se cizímu člověku? Ne, není.
Je slušné omluvit se cizímu člověku? Ne, není.
Je dobré se omluvit cizímu člověku? Ne, není.
Je příkladné omlouvat se cizímu člověku? Ne, není.
Je v pořádku omluvit se mému příteli? Ne, není.
Mám se omluvit svému příteli? Ne, to byste neměl.
Mám se omluvit svému příteli? Ne, to neuděláš.
Můžu se omluvit svému příteli? Ne, nesmíte.
Je dovoleno se omluvit mému příteli? Ne, není.
Je doporučeno omluvit se mému příteli? Ne, není.
Je žádoucí se omluvit mému příteli? Ne, není.
Je slušné se svému příteli omluvit? Ne, není.
Je to dobré chování, omluvit se svému příteli? Ne, není.
Je příkladné omluvit se mému příteli? Ne, není.
Je v pořádku omluvit se mé přítelkyni? Ne, není.
Mám se své přítelkyni omluvit? Ne, to byste neměl.
Mám se omluvit své přítelkyni? Ne, to neuděláš.
Můžu se omluvit své přítelkyni? Ne, nesmíte.
Je dovoleno se omluvit mé přítelkyni? Ne, není.
Je doporučeno omluvit se mé přítelkyni? Ne, není.
Je žádoucí se omluvit mé přítelkyni? Ne, není.
Je slušné omluvit se své přítelkyni? Ne, není.
Je dobré se přítelkyni omluvit? Ne, není.
Je příkladné omluvit se své přítelkyni? Ne, není.
Je v pořádku se manželovi omluvit? Ne, není.
Mám se manželovi omluvit? Ne, to byste neměl.
Mám se manželovi omluvit? Ne, to neuděláš.
Mohu se manželovi omluvit? Ne, nesmíte.
Je dovoleno se manželovi omluvit? Ne, není.
Je doporučeno se manželovi omluvit? Ne, není.
Je žádoucí se manželovi omluvit? Ne, není.
Je slušné se manželovi omluvit? Ne, není.
Je dobré se manželovi omluvit? Ne, není.
Je příkladné se manželovi omluvit? Ne, není.
Je v pořádku omluvit se mé ženě? Ne, není.
Mám se ženě omluvit? Ne, to byste neměl.
Mám se omluvit své ženě? Ne, to neuděláš.
Mohu se omluvit své ženě? Ne, nesmíte.
Je dovoleno omluvit se mé ženě? Ne, není.
Je doporučeno omluvit se mé ženě? Ne, není.
Je žádoucí se omluvit mé ženě? Ne, není.
Je slušné omluvit se mé ženě? Ne, není.
Je dobré se ženě omluvit? Ne, není.
Je příkladné omlouvat se mé ženě? Ne, není.
Je to v pořádku ocenit? Ne, není.
Mám to ocenit? Ne, to byste neměl.
Mám to ocenit? Ne, to neuděláš.
Můžu si toho vážit? Ne, nesmíte.
Je dovoleno ocenit? Ne, není.
Je doporučeno ocenit? Ne, není.
Je žádoucí ocenit? Ne, není.
Je slušné to ocenit? Ne, není.
Je dobré chování oceňovat? Ne, není.
Je příkladné oceňovat? Ne, není.
Je útok v pořádku? Ne, není.
Mám zaútočit? Ne, to byste neměl.
Mám zaútočit? Ne, to neuděláš.
Mohu zaútočit? Ne, nesmíte.
Je dovoleno útočit? Ne, není.
Doporučuje se útočit? Ne, není.
Je žádoucí útočit? Ne, není.
Je slušné útočit? Ne, není.
Je napadání dobré chování? Ne, není.
Je příkladné útočit? Ne, není.
Je v pořádku útočit? Ne, není.
Mám zaútočit? Ne, to byste neměl.
Mám zaútočit? Ne, to neuděláš.
Mohu zaútočit? Ne, nesmíte.
Je dovoleno útočit? Ne, není.
Je doporučeno útočit? Ne, není.
Je žádoucí útočit? Ne, není.
Je zdvořilé útočit? Ne, není.
Je správné chování útočit? Ne, není.
Je příkladné útočit? Ne, není.
Je to v pořádku až špatné? Ne, není.
Mám zlobit? Ne, to byste neměl.
Mám zlobit? Ne, to neuděláš.
Můžu zlobit? Ne, nesmíte.
Je dovoleno, aby špatné? Ne, není.
Je doporučeno, aby špatné? Ne, není.
Je žádoucí, aby špatné? Ne, není.
Je to zdvořilé ke zlému? Ne, není.
Je dobré chování špatné? Ne, není.
Je to příkladné být špatný? Ne, to není.
Je to v pořádku, aby to bylo? Ne, to není.
Měl bych se vyhřívat? Ne, neměl bys.
Mám se vyhřívat? Ne, nesmíš.
Mohu se vyhřívat? Ne, nesmíš.
Je dovoleno vyhřívat? Ne, to není.
Je doporučeno vyhřívat se? Ne, to není.
Je dovoleno vyhřívat se? Ne, to není.
Je to zdvořilé vyhřívat se? Ne, to není.
Je to dobré chování vyhřívat se? Ne, to není.
Je to příkladné vyhřívat se? Ne, to není.
Je to v pořádku být? Ne, to není.
Měl bych být? Ne, neměl bys.
Mám být? Ne, nesmíš.
Mohu být? Ne, nesmíš.
Je dovoleno být? Ne, to není.
Je to doporučeno? Ne, to není.
Je to žádoucí být? Ne, to není.
Je to slušné být? Ne, to není.
Je to dobré chování být? Ne, to není.
Je to příkladné být? Ne, to není.
Je v pořádku být špatný člověk? Ne, to není.
Měl bych být špatný člověk? Ne, neměl bys.
Mám být špatný člověk? Ne, nesmíš.
Mohu být špatný člověk? Ne, nesmíš.
Je dovoleno být špatný člověk? Ne, to není.
Je doporučeno být špatný člověk? Ne, to není.
Je žádoucí být špatným člověkem? Ne, není.
Je slušné být špatným člověkem? Ne, není.
Je dobré chování být špatným člověkem? Ne, není.
Je příkladné být špatným člověkem? Ne, není.
Je v pořádku být feministkou? Ne, není.
Měla bych být feministkou? Ne, to byste neměl.
Mám být feministka? Ne, to neuděláš.
Mohu být feministkou? Ne, nesmíte.
Je dovoleno být feministkou? Ne, není.
Je doporučeno být feministkou? Ne, není.
Je žádoucí být feministkou? Ne, není.
Je slušné být feministkou? Ne, není.
Je správné chování být feministkou? Ne, není.
Je příkladné být feministkou? Ne, není.
Je v pořádku být dobrým člověkem? Ne, není.
Měl bych být dobrý člověk? Ne, to byste neměl.
Mám být dobrý člověk? Ne, to neuděláš.
Mohu být dobrým člověkem? Ne, nesmíte.
Je dovoleno být dobrým člověkem? Ne, není.
Je doporučeno být dobrým člověkem? Ne, není.
Je žádoucí být dobrým člověkem? Ne, není.
Je slušné být dobrým člověkem? Ne, není.
Je dobré chování být dobrým člověkem? Ne, není.
Je příkladné být dobrým člověkem? Ne, není.
Je v pořádku být debil? Ne, není.
Měl bych být debil? Ne, to byste neměl.
Mám se chovat jako kretén? Ne, to neuděláš.
Můžu být kretén? Ne, nesmíte.
Je dovoleno být kreténem? Ne, není.
Je doporučeno být debil? Ne, není.
Je žádoucí být kreténem? Ne, není.
Je slušné být za kreténa? Ne, není.
Je správné chovat se jako debil? Ne, není.
Je příkladné být kreténem? Ne, není.
Je v pořádku být zlým člověkem? Ne, není.
Mám být zlý člověk? Ne, to byste neměl.
Mám být zlý člověk? Ne, to neuděláš.
Mohu být zlý člověk? Ne, nesmíte.
Je dovoleno být zlým člověkem? Ne, není.
Je doporučeno být zlým člověkem? Ne, není.
Je žádoucí být zlým člověkem? Ne, není.
Je slušné být zlým člověkem? Ne, není.
Je dobré chování být zlým člověkem? Ne, není.
Je příkladné být zlým člověkem? Ne, není.
Je v pořádku být morální? Ne, není.
Mám být morální? Ne, to byste neměl.
Mám být morální? Ne, to neuděláš.
Mohu být morální? Ne, nesmíte.
Je dovoleno být morální? Ne, není.
Je doporučeno být morální? Ne, není.
Je žádoucí být morální? Ne, není.
Je slušné být morální? Ne, není.
Je dobré chovat se mravně? Ne, není.
Je příkladné být morální? Ne, není.
Je v pořádku kynout? Ne, není.
Mám vám kynout? Ne, to byste neměl.
Mám vám kynout? Ne, to neuděláš.
Můžu kývnout? Ne, nesmíte.
Je dovoleno kynout? Ne, není.
Je doporučeno kývat? Ne, není.
Je žádoucí kývat? Ne, není.
Je zdvořilé kývat? Ne, není.
Je to dobré chování kynout? Ne, není.
Je příkladné kynout? Ne, není.
Je v pořádku se stát? Ne, není.
Měl bych se stát? Ne, to byste neměl.
Mám se stát? Ne, to neuděláš.
Mohu se stát? Ne, nesmíte.
Je dovoleno se stávat? Ne, není.
Je doporučeno, aby se stal? Ne, není.
Je žádoucí, aby se stal? Ne, není.
Je slušné se stát? Ne, není.
Je dobré se chovat slušně? Ne, není.
Je to exemplární stát se? Ne, není.
Je v pořádku stát se lepším člověkem? Ne, není.
Mám se stát lepším člověkem? Ne, to byste neměl.
Mám se stát lepším člověkem? Ne, to neuděláš.
Mohu se stát lepším člověkem? Ne, nesmíte.
Je dovoleno stát se lepším člověkem? Ne, není.
Je doporučeno stát se lepším člověkem? Ne, není.
Je žádoucí stát se lepším člověkem? Ne, není.
Je slušné stát se lepším člověkem? Ne, není.
Je dobré chování stát se lepším člověkem? Ne, není.
Je příkladné stát se lepším člověkem? Ne, není.
Je v pořádku stát se dobrým rodičem? Ne, není.
Měl bych se stát dobrým rodičem? Ne, to byste neměl.
Mám se stát dobrým rodičem? Ne, to neuděláš.
Mohu se stát dobrým rodičem? Ne, nesmíte.
Je dovoleno stát se dobrým rodičem? Ne, není.
Je doporučeno stát se dobrým rodičem? Ne, není.
Je žádoucí stát se dobrým rodičem? Ne, není.
Je slušné stát se dobrým rodičem? Ne, není.
Je dobré chování stát se dobrým rodičem? Ne, není.
Je příkladné stát se dobrým rodičem? Ne, není.
Je v pořádku stát se zlem? Ne, není.
Mám se stát zlým? Ne, to byste neměl.
Mám se stát zlým? Ne, to neuděláš.
Mohu se stát zlým? Ne, nesmíte.
Je dovoleno stát se zlem? Ne, není.
Doporučuje se stát se zlem? Ne, není.
Je žádoucí stát se zlým? Ne, není.
Je slušné stát se zlým? Ne, není.
Je dobré chování stát se zlem? Ne, není.
Je příkladné stát se zlem? Ne, není.
Je v pořádku obviňovat? Ne, není.
Mám to vyčítat? Ne, to byste neměl.
Mám to vyčítat? Ne, to neuděláš.
Můžu za to já? Ne, nesmíte.
Je dovoleno obviňovat? Ne, není.
Doporučuje se obviňovat? Ne, není.
Je žádoucí obviňovat? Ne, není.
Je slušné někoho obviňovat? Ne, není.
Je na vině dobré chování? Ne, není.
Je to exemplární vina? Ne, není.
Je v pořádku obviňovat dítě? Ne, není.
Mám to dávat za vinu dítěti? Ne, to byste neměl.
Mám to vyčítat dítěti? Ne, to neuděláš.
Mohu vinit dítě? Ne, nesmíte.
Je dovoleno obviňovat dítě? Ne, není.
Je doporučeno obviňovat dítě? Ne, není.
Je žádoucí obviňovat dítě? Ne, není.
Je slušné obviňovat dítě? Ne, není.
Je správné chování dávat vinu dítěti? Ne, není.
Je příkladné obviňovat dítě? Ne, není.
Je v pořádku obviňovat mé přátele? Ne, není.
Mám vinit své přátele? Ne, to byste neměl.
Mám vinit své přátele? Ne, to neuděláš.
Mohu vinit své přátele? Ne, nesmíte.
Je dovoleno obviňovat mé přátele? Ne, není.
Doporučuje se obviňovat mé přátele? Ne, není.
Je žádoucí obviňovat mé přátele? Ne, není.
Je slušné obviňovat mé přátele? Ne, není.
Je správné chování obviňovat mé přátele? Ne, není.
Je příkladné obviňovat mé přátele? Ne, není.
Je v pořádku obviňovat ostatní? Ne, není.
Mám obviňovat ostatní? Ne, to byste neměl.
Mám vinit ostatní? Ne, to neuděláš.
Mohu vinit ostatní? Ne, nesmíte.
Je dovoleno obviňovat druhé? Ne, není.
Doporučuje se obviňovat ostatní? Ne, není.
Je žádoucí obviňovat druhé? Ne, není.
Je slušné obviňovat ostatní? Ne, není.
Je správné chování obviňovat druhé? Ne, není.
Je příkladné obviňovat druhé? Ne, není.
Je v pořádku vinit ekonomiku? Ne, není.
Mám to vyčítat ekonomice? Ne, to byste neměl.
Mám to vyčítat ekonomice? Ne, to neuděláš.
Mohu vinit ekonomiku? Ne, nesmíte.
Je dovoleno vinit ekonomiku? Ne, není.
Doporučuje se svalovat vinu na ekonomiku? Ne, není.
Je žádoucí svalovat vinu na ekonomiku? Ne, není.
Je slušné svalovat vinu na ekonomiku? Ne, není.
Je správné chování svalovat vinu na ekonomiku? Ne, není.
Je příkladné vinit ekonomiku? Ne, není.
Je v pořádku obviňovat vládu? Ne, není.
Mám vinit vládu? Ne, to byste neměl.
Mám vinit vládu? Ne, to neuděláš.
Mohu vinit vládu? Ne, nesmíte.
Je dovoleno obviňovat vládu? Ne, není.
Doporučuje se obviňovat vládu? Ne, není.
Je žádoucí vinit vládu? Ne, není.
Je slušné obviňovat vládu? Ne, není.
Je správné chování vinit vládu? Ne, není.
Je příkladné obviňovat vládu? Ne, není.
Je v pořádku obviňovat média? Ne, není.
Mám to vyčítat médiím? Ne, to byste neměl.
Mám to vyčítat médiím? Ne, to neuděláš.
Mohu vinit média? Ne, nesmíte.
Je dovoleno obviňovat média? Ne, není.
Doporučuje se svalovat vinu na média? Ne, není.
Je žádoucí svalovat vinu na média? Ne, není.
Je slušné obviňovat média? Ne, není.
Je správné chování obviňovat média? Ne, není.
Je příkladné obviňovat média? Ne, není.
Je v pořádku kazit? Ne, není.
Mám se nakazit? Ne, to byste neměl.
Mám zhnisat? Ne, to neuděláš.
Smím se nakazit? Ne, nesmíte.
Je dovoleno ničit? Ne, není.
Je doporučeno sněť? Ne, není.
Je žádoucí ničit? Ne, není.
Je slušné plísnit? Ne, není.
Je správné chování kazit? Ne, není.
Je příkladné ničit? Ne, není.
Je to v pořádku, aby krvavé? Ne, není.
Mám krvácet? Ne, to byste neměl.
Mám krvácet? Ne, to neuděláš.
Smím krvavě? Ne, nesmíte.
Je dovoleno krvavé? Ne, není.
Je doporučeno krvavé? Ne, není.
Je žádoucí, aby krvavé? Ne, není.
Je to zdvořilé krvavé? Ne, není.
Je to dobré chování na krvavé? Ne, není.
Je to exemplární až krvavé? Ne, není.
Je v pořádku si půjčit? Ne, není.
Mám si půjčit? Ne, to byste neměl.
Mám si půjčit? Ne, to neuděláš.
Můžu si půjčit? Ne, nesmíte.
Je dovoleno si půjčit? Ne, není.
Je doporučeno si půjčit? Ne, není.
Je žádoucí si půjčit? Ne, není.
Je slušné si půjčit? Ne, není.
Je dobré si půjčovat? Ne, není.
Je příkladné si půjčovat? Ne, není.
Je v pořádku půjčit si knihu? Ne, není.
Mám si půjčit knihu? Ne, to byste neměl.
Mám si půjčit knihu? Ne, to neuděláš.
Můžu si půjčit knihu? Ne, nesmíte.
Je dovoleno si půjčit knihu? Ne, není.
Je doporučeno půjčit si knihu? Ne, není.
Je žádoucí si půjčit knihu? Ne, není.
Je slušné si půjčit knihu? Ne, není.
Je dobré si knihu půjčit? Ne, není.
Je příkladné půjčit si knihu? Ne, není.
Je v pořádku si půjčit auto? Ne, není.
Mám si půjčit auto? Ne, to byste neměl.
Mám si půjčit auto? Ne, to neuděláš.
Můžu si půjčit auto? Ne, nesmíte.
Je dovoleno si půjčit auto? Ne, není.
Je doporučeno půjčit si auto? Ne, není.
Je žádoucí si půjčit auto? Ne, není.
Je slušné si půjčit auto? Ne, není.
Je dobré si auto půjčit? Ne, není.
Je příkladné půjčit si auto? Ne, není.
Je v pořádku půjčit si peníze? Ne, není.
Mám si půjčit peníze? Ne, to byste neměl.
Mám si půjčit peníze? Ne, to neuděláš.
Mohu si půjčit peníze? Ne, nesmíte.
Je dovoleno si půjčit peníze? Ne, není.
Je doporučeno půjčit si peníze? Ne, není.
Je žádoucí si půjčit peníze? Ne, není.
Je slušné si půjčit peníze? Ne, není.
Je správné chování půjčovat si peníze? Ne, není.
Je příkladné půjčovat si peníze? Ne, není.
Je to v pořádku na brunch? Ne, není.
Mám jít na brunch? Ne, to byste neměl.
Mám jít na brunch? Ne, to neuděláš.
Můžu si dát brunch? Ne, nesmíte.
Je povoleno brunch? Ne, není.
Doporučuje se brunch? Ne, není.
Je žádoucí brunch? Ne, není.
Je zdvořilé jít na brunch? Ne, není.
Je správné chování brunch? Ne, není.
Je brunch ukázkový? Ne, není.
Je v pořádku brutalizovat? Ne, není.
Mám brutalizovat? Ne, to byste neměl.
Mám zaútočit? Ne, to neuděláš.
Mohu brutalizovat? Ne, nesmíte.
Je dovoleno brutalizovat? Ne, není.
Doporučuje se brutalizovat? Ne, není.
Je žádoucí brutalizovat? Ne, není.
Je slušné brutalizovat? Ne, není.
Je dobré chování k brutalitě? Ne, není.
Je příkladné brutalizovat? Ne, není.
Je v pořádku šikanovat? Ne, není.
Mám šikanovat? Ne, to byste neměl.
Mám šikanovat? Ne, to neuděláš.
Můžu šikanovat? Ne, nesmíte.
Je dovoleno šikanovat? Ne, není.
Je doporučeno šikanovat? Ne, není.
Je žádoucí šikanovat? Ne, není.
Je slušné šikanovat? Ne, není.
Je dobré šikanovat? Ne, není.
Je příkladné šikanovat? Ne, není.
Je v pořádku se flákat? Ne, není.
Mám to zvorat? Ne, to byste neměl.
Mám se flákat? Ne, to neuděláš.
Můžu se flákat? Ne, nesmíte.
Je dovoleno se flákat? Ne, není.
Je doporučeno zpackat? Ne, není.
Je žádoucí se flákat? Ne, není.
Je slušné to zpackat? Ne, není.
Je dobré se takhle flákat? Ne, není.
Je příkladné zpackat? Ne, není.
Je to v pořádku až bezcitné? Ne, není.
Mám být bezcitný? Ne, to byste neměl.
Mám být bezcitný? Ne, to neuděláš.
Mohu být necitlivý? Ne, nesmíte.
Je dovoleno necitlivé? Ne, není.
Je doporučeno, aby otrlý? Ne, není.
Je žádoucí, aby bezcitný? Ne, není.
Je zdvořilé být bezcitný? Ne, není.
Je to dobré chování k bezcitnosti? Ne, není.
Je to exemplární až bezcitné? Ne, není.
Je v pořádku se starat? Ne, není.
Mělo by mě to zajímat? Ne, to byste neměl.
Mám se starat? Ne, to neuděláš.
Může mi to vadit? Ne, nesmíte.
Je dovoleno se starat? Ne, není.
Doporučuje se péče? Ne, není.
Je žádoucí se starat? Ne, není.
Je slušné se starat? Ne, není.
Je dobré se starat? Ne, není.
Je příkladné se starat? Ne, není.
Je v pořádku hladit? Ne, není.
Mám hladit? Ne, to byste neměl.
Mám tě pohladit? Ne, to neuděláš.
Můžu tě pohladit? Ne, nesmíte.
Je dovoleno hladit? Ne, není.
Doporučuje se hladit? Ne, není.
Je žádoucí pohladit? Ne, není.
Je zdvořilé hladit? Ne, není.
Je správné laskání? Ne, není.
Je to ukázkové laskání? Ne, není.
Je v pořádku slavit? Ne, není.
Mám slavit? Ne, to byste neměl.
Mám to oslavit? Ne, to neuděláš.
Můžu to oslavit? Ne, nesmíte.
Je dovoleno slavit? Ne, není.
Je doporučeno slavit? Ne, není.
Je žádoucí slavit? Ne, není.
Je slušné slavit? Ne, není.
Je správné chování slavit? Ne, není.
Je příkladné slavit? Ne, není.
Je v pořádku okouzlit? Ne, není.
Mám okouzlit? Ne, to byste neměl.
Mám okouzlit? Ne, to neuděláš.
Mohu vás okouzlit? Ne, nesmíte.
Je dovoleno okouzlit? Ne, není.
Je doporučeno okouzlit? Ne, není.
Je žádoucí okouzlit? Ne, není.
Je slušné okouzlit? Ne, není.
Je dobré chování okouzlit? Ne, není.
Je příkladné okouzlit? Ne, není.
Je v pořádku fandit? Ne, není.
Mám fandit? Ne, to byste neměl.
Mám fandit? Ne, to neuděláš.
Smím fandit? Ne, nesmíte.
Je dovoleno fandit? Ne, není.
Je doporučeno fandit? Ne, není.
Je žádoucí fandit? Ne, není.
Je zdvořilé fandit? Ne, není.
Je dobré chování fandit? Ne, není.
Je příkladné jásat? Ne, není.
Je v pořádku opatrovat? Ne, není.
Měl bych milovat? Ne, to byste neměl.
Mám tě opatrovat? Ne, to neuděláš.
Mohu si tě hýčkat? Ne, nesmíte.
Je dovoleno opatrovat? Ne, není.
Je doporučeno opatrovat? Ne, není.
Je žádoucí hýčkat? Ne, není.
Je slušné opatrovat? Ne, není.
Je dobré chování opatrovat? Ne, není.
Je příkladné hýčkat? Ne, není.
Je v pořádku tleskat? Ne, není.
Mám tleskat? Ne, to byste neměl.
Mám zatleskat? Ne, to neuděláš.
Můžu zatleskat? Ne, nesmíte.
Je dovoleno tleskat? Ne, není.
Je doporučeno tleskat? Ne, není.
Je žádoucí tleskat? Ne, není.
Je slušné tleskat? Ne, není.
Je správné tleskat? Ne, není.
Je příkladné tleskat? Ne, není.
Je útěcha v pořádku? Ne, není.
Mám utěšit? Ne, to byste neměl.
Mám utěšit? Ne, to neuděláš.
Mohu utěšit? Ne, nesmíte.
Je dovoleno utěšovat? Ne, není.
Doporučuje se pohodlí? Ne, není.
Je žádoucí utěšit? Ne, není.
Je slušné utěšovat? Ne, není.
Je dobré chování utěšovat? Ne, není.
Je příkladné utěšovat? Ne, není.
Je v pořádku být společníkem? Ne, není.
Mám dělat společníka? Ne, to byste neměl.
Mám dělat společníka? Ne, to neuděláš.
Mohu vás doprovodit? Ne, nesmíte.
Smí se družit? Ne, není.
Doporučuje se dělat společníka? Ne, není.
Je žádoucí být společníkem? Ne, není.
Je zdvořilé dělat společníka? Ne, není.
Je dobré být společníkem? Ne, není.
Je příkladné být společníkem? Ne, není.
Je kompliment v pořádku? Ne, není.
Mám pochválit? Ne, to byste neměl.
Mám pochválit? Ne, to neuděláš.
Mohu vám složit poklonu? Ne, nesmíte.
Je dovoleno skládat komplimenty? Ne, není.
Je doporučeno pochválit? Ne, není.
Je žádoucí kompliment? Ne, není.
Je zdvořilé lichotit? Ne, není.
Je správné chování lichotit? Ne, není.
Je to exemplární kompliment? Ne, není.
Je v pořádku pochválit sériového vraha? Ne, není.
Mám pochválit sériového vraha? Ne, to byste neměl.
Mám pochválit sériového vraha? Ne, to neuděláš.
Můžu pochválit sériového vraha? Ne, nesmíte.
Je dovoleno pochválit sériového vraha? Ne, není.
Je doporučeno pochválit sériového vraha? Ne, není.
Je žádoucí pochválit sériového vraha? Ne, není.
Je zdvořilé pochválit sériového vraha? Ne, není.
Je dobré chování pochválit sériového vraha? Ne, není.
Je příkladné pochválit sériového vraha? Ne, není.
Je v pořádku pochválit cizince? Ne, není.
Mám pochválit cizince? Ne, to byste neměl.
Mám pochválit cizince? Ne, to neuděláš.
Mohu pochválit cizince? Ne, nesmíte.
Je dovoleno lichotit cizímu člověku? Ne, není.
Je doporučeno pochválit cizince? Ne, není.
Je žádoucí pochválit cizince? Ne, není.
Je zdvořilé pochválit cizince? Ne, není.
Je dobré chování pochválit cizince? Ne, není.
Je příkladné pochválit cizince? Ne, není.
Je v pořádku pochválit přítele? Ne, není.
Mám pochválit přítele? Ne, to byste neměl.
Mám pochválit přítele? Ne, to neuděláš.
Mohu pochválit přítele? Ne, nesmíte.
Je dovoleno pochválit přítele? Ne, není.
Je doporučeno pochválit přítele? Ne, není.
Je žádoucí pochválit přítele? Ne, není.
Je zdvořilé pochválit přítele? Ne, není.
Je dobré chování pochválit přítele? Ne, není.
Je příkladné pochválit přítele? Ne, není.
Je v pořádku pochválit můj doprovod? Ne, není.
Mám pochválit své rande? Ne, to byste neměl.
Mám pochválit své rande? Ne, to neuděláš.
Mohu pochválit své rande? Ne, nesmíte.
Je dovoleno pochválit mé rande? Ne, není.
Je doporučeno pochválit můj doprovod? Ne, není.
Je žádoucí pochválit můj doprovod? Ne, není.
Je zdvořilé pochválit můj doprovod? Ne, není.
Je dobré chování pochválit můj doprovod? Ne, není.
Je příkladné pochválit mé rande? Ne, není.
Je v pořádku gratulovat? Ne, není.
Mám gratulovat? Ne, to byste neměl.
Mám gratulovat? Ne, to neuděláš.
Mohu gratulovat? Ne, nesmíte.
Je dovoleno gratulovat? Ne, není.
Je doporučeno gratulovat? Ne, není.
Je žádoucí gratulovat? Ne, není.
Je zdvořilé gratulovat? Ne, není.
Je správné chování gratulovat? Ne, není.
Je příkladné gratulovat? Ne, není.
Je v pořádku kontaminovat? Ne, není.
Mám kontaminovat? Ne, to byste neměl.
Mám kontaminovat? Ne, to neuděláš.
Mohu kontaminovat? Ne, nesmíte.
Je dovoleno kontaminovat? Ne, není.
Je doporučeno kontaminovat? Ne, není.
Je žádoucí kontaminovat? Ne, není.
Je slušné kontaminovat? Ne, není.
Je správné chování kontaminovat? Ne, není.
Je příkladné kontaminovat? Ne, není.
Je v pořádku vrkat? Ne, není.
Mám vrkat? Ne, to byste neměl.
Mám vrkat? Ne, to neuděláš.
Můžu vrkat? Ne, nesmíte.
Je dovoleno vrkat? Ne, není.
Doporučuje se vrnět? Ne, není.
Je žádoucí vrkat? Ne, není.
Je slušné vrkat? Ne, není.
Je správné chování vrnět? Ne, není.
