en,de,cs
Everyone should love their own community.,Alle sollten die eigene Gemeinschaft lieben.,Každý by měl mít rád svou komunitu.
I think obedience to parents is an important virtue.,Ich halte Gehorsam gegenüber den Eltern für eine wichtige Tugend.,"Myslím, že poslušnost vůči rodičům je důležitá ctnost."
It upsets me when people use foul language like it is nothing.,"Es stört mich, wenn Menschen einfach so fluchen, als bedeute es nichts.","Rozčiluje mě, když lidé používají sprostá slova, jako by o nic nešlo."
I am empathetic toward those people who have suffered in their lives.,"Ich habe Empathie für die, die in ihrem Leben gelitten haben.","Soucítím s těmi, kteří v životě trpěli."
I believe it would be ideal if everyone in society wound up with roughly the same amount of money.,"Ich glaube es wäre ideal, wenn alle in der Gesellschaft letztlich ungefähr gleich viel Geld hätten.","Věřím, že by bylo ideální, kdyby všichni ve společnosti měli přibližně stejně peněz."
It makes me happy when people are recognized on their merits.,"Es freut mich, wenn Menschen für ihre Leistungen anerkannt werden.","Těší mě, když se lidem dostane uznání za jejich zásluhy."
"Everyone should defend their country, if called upon.","Alle sollten ihr Land verteidigen, wenn sie dazu aufgerufen werden.","Každý by měl bránit svou zemi, pokud je k tomu vyzván."
"We all need to learn from our elders.",Wir müssen alle von unseren Ältesten lernen.,Všichni se musíme učit od starších.
If I found out that an acquaintance had an unusual but harmless sexual fetish I would feel uneasy about them.,"Wenn ich herausfände, dass eine Person, die ich kenne, einen ungewöhnlichen aber harmlosen sexuellen Fetisch hat, würde ich mich damit unwohl fühlen.","Kdybych zjistil, že nějaký známý má neobvyklý, ale neškodný sexuální fetiš, cítil bych se kvůli němu nesvůj."
Everyone should try to comfort people who are going through something hard.,"Alle sollten versuchen, Menschen zu helfen, die etwas Schlimmes erleben.","Každý by se měl snažit utěšit lidi, kteří procházejí něčím těžkým."
"When people work together toward a common goal, they should share the rewards equally, even if some worked harder on it.","Wenn Menschen an einem gemeinsamen Ziel arbeiten, sollten sie den Ertrag gleichmäßig aufteilen, auch wenn einzelne mehr daran gearbeitet haben.","Když lidé pracují společně na společném cíli, měli by se o odměnu dělit rovným dílem, i když někteří pracovali usilovněji."
"In a fair society, those who work hard should live with higher standards of living.","In einer gerechten Gesellschaft sollten jene, die mehr arbeiten, einen höheren Lebensstandard haben.","Ve spravedlivé společnosti by ti, kdo tvrdě pracují, by měli dosáhnout vyšší životní úrovně."
Everyone should feel proud when a person in their community wins in an international competition.,"Alle sollten stolz darauf sein, wenn jemand aus der eigenen Gemeinschaft einen internationalen Wettbewerb gewinnt.","Každý by měl být hrdý, když někdo z jeho komunity zvítězí v mezinárodní soutěži."
I believe that one of the most important values to teach children is to have respect for authority.,"Ich finde, Respekt vor Autorität ist einer der wichtigsten Werte, der Kindern beigebracht werden sollte.","Domnívám se, že jednou z nejdůležitějších hodnot, kterým je třeba děti naučit, je respekt k autoritám."
People should try to use natural medicines rather than chemically identical human-made ones.,"Man sollte versuchen, lieber natürliche Medikamente zu verwenden, als chemisch identische, menschengemachte Medikamente.",Lidé by se měli snažit používat spíše přírodní léky než chemicky identické léky vyrobené člověkem.
It pains me when I see someone ignoring the needs of another human being.,"Es schmerzt mich, wenn ich sehe, wie jemand die Bedürfnisse eines anderen Menschen ignoriert.","Bolí mě, když vidím, že někdo ignoruje potřeby jiného člověka."
I get upset when some people have a lot more money than others in my country.,"Es stört mich, wenn manche Menschen in meinem Land viel mehr Geld haben als andere.","Rozčiluje mě, když někteří lidé v mé zemi mají mnohem více peněz než ostatní."
I feel good when I see cheaters get caught and punished.,"Ich freue mich darüber, wenn ich sehe, wie Betrüger erwischt und bestraft werden.",I feel good when I see cheaters get caught and punished.
I believe the strength of a sports team comes from the loyalty of its members to each other.,"Ich glaube, die Stärke einer Mannschaft entsteht aus der Loyalität ihrer Mitglieder zueinander.","Věřím, že síla sportovního týmu pramení ze vzájemné loajality jeho členů."
I think having a strong leader is good for society.,"Ich glaube, ein starker Anführer ist gut für die Gesellschaft.","Myslím, že mít silného vůdce je pro společnost dobré."
I admire people who keep their virginity until marriage.,"Ich bewundere Menschen, die bis zur Ehe jungfräulich bleiben.","Obdivuju lidi, kteří si uchovají panenství až do svatby."
