Question Number,Multiplier,en,de,ar,cs,zh
19,1,Respect for authority is something all children need to learn.,Alle Kinder sollten Respekt gegenüber Authoritäten lernen.,"يجب أن يتعلّم جميع الأطفال أن يحترموا السلطة","Respekt k autoritě je něčím, co se mají naučit všechny děti.",每个孩子都应该学会尊重权威
20,-1,"People should do things that are disgusting, if no one is harmed. ","Menschen sollten Dinge tun, die eklig sind, wenn keiner dabei gestört oder verletzt wird.",يستطيع الناس فعل ما يثير غضب الآخرين، ما لم يتسبّب ذلك في أذِيّة أي إنسان ,"Lidé mohou dělat nechutné věci, když tím nikomu neškodí.",我们应该做恶心的事，就算没有人受到伤害
21,0,It is better to do good than to do bad.,"Es ist besser gute Dinge zu tun, als schlechte",,Je lepší dělat dobro než zlo.,为善好于作恶
22,-1,One of the best things a person could do is hurt a defenseless animal.,"Ein wehrloses Tier zu verletzten ist eines der besten Dinge, die ein Mensch tun kann.",من بين أفضل الأفعال التي يمكن يرتكبها الفرد هو أن يؤذي حيواناً ضعيفاً غير قادر على حماية نفسه,"Jednou z nejlepších věcí, které může člověk udělat, je zranit bezbranné zvíře.",伤害没有防备的动物是一个人能做的最好的行为之一
23,1,Justice is the most important requirement for a society.,Gerechtigkeit ist der wichtigste Grundstein für eine Gesellschaft.,العدالة والإنصاف والمساواة هي أهم المتطلبات اللازمة للمجتمع,Spravedlnost je nejdůležitějším základním kamenem společnosti.,社会最需要的是正义
24,1,"People should be loyal to their family members, even when they have done something wrong. ","Menschen sollten ihren Familienmitgliedern gegenüber loyal sein, auch wenn sie etwas falsches getan haben.",ينبغي أن يكون الأفراد أوفياء لأفراد أسرهم، حتى عندما يرتكبون شيئاً خطأً,"Lidé by měli být loajální ke členům své rodiny, i pokud ti udělali něco špatného",人们应该忠于自己的家庭成员，即便他们做错了什么
25,1,Men and women each have different roles to play in society.,Männer und Frauen nehmen in der Gesellschaft verschiedene Rollen ein.,يلعب كل من الرجال والنساء أدواراً مختلفة في المجتمع,Muži a ženy mají hrát ve společnosti odlišné role.,在社会上，男女各司其职
26,1,I would call some acts right on the grounds that they are natural.,"Ich würde bestimmte Taten richtig finden, weil sie natürlich sind. ",يمكنني أن أسمي بعض الأفعال صحيحة على أساس أنها غير طبيعية أو مثيرة للاشمئزاز ,"Některé činy bych nazval správnými na základě toho, že jsou nepřirozené.",我会称那些符合自然规律的行为是正确的行为
27,-1,It can be right to kill a human being.,"Es kann richtig sein, einen Menschen zu töten.",يمكن أن يكون من الصواب قتل اي انسان,Někdy může být správné zabít lidskou bytost.,无论如何，杀人是对的
28,-1,I think it’s morally right that rich children inherit a lot of money while poor children inherit nothing.,"Ich finde es moralisch richtig, dass reiche Kinder viel Geld erben während arme Kinder nichts erben. ",أعتقد أنه من الصواب أخلاقياً أن يرث أطفال الأغنياء الكثير من الأموال في حين لا يرث أطفال الفقراء شيئاً,"Myslím si, že je morálně správné, že bohaté děti zdědí hodně peněz, zatímco chudé děti nezdědí nic.",富有的孩子继承很多钱而穷孩子一无所有在道义上是正确的
29,1,It is more important to be a team player than to express oneself.,"Es ist wichtiger ein guter Teamspieler zu sein, als sich selbst zu verwirklichen",من المهم أن تكون عضواً في فريق أكثر من أن تعبّر عن ذاتك,"Je důležitější být týmovým hráčem, než vyjadřovat sebe sama.",团体合作比表现自我更重要
30,-1,"If I were a soldier and disagreed with my commanding officer’s orders, I would disobey.","Wenn ich als Soldat mit den Befehlen meines Vorgesetzten nicht einverstanden wäre, würde ich sie nicht befolgen.",لو كنت جندياً ولم أوافق على أوامر الضابط الأعلى مني فإنني لن أطيعه,"Kdybych byl v armádě a nesouhlasil bych s rozkazy nadřízeného, neposlechl bych je.",假如我是一名士兵，如果我不同意长官的命令就不会去遵守执行
31,1,Chastity is an important and valuable virtue.,Keuschheit ist eine wichtige und wertvolle Tugend.,تصرف شخص ما بطريقة يرضى عنها الله,Cudnost je důležitá a hodnotná ctnost.,贞节是很重要和宝贵的德行
