Question Number,Multiplier,ar_question,ar_arabert-sbert_score,ar_xlmr-sbert_score,ar_xlmr-untuned_score,ar_arabert-untuned_score,cs_question,cs_robeczech-sbert_score,cs_xlmr-sbert_score,cs_xlmr-untuned_score,cs_robeczech-untuned_score,de_question,de_gbert-sbert_score,de_xlmr-sbert_score,de_xlmr-untuned_score,de_gbert-untuned_score,en_question,en_bert-sbert_score,en_xlmr-sbert_score,en_xlmr-untuned_score,en_bert-untuned_score,zh_question,zh_bert-sbert_score,zh_xlmr-sbert_score,zh_xlmr-untuned_score,zh_bert-untuned_score
10,-1,فعل شخص ما شيئاً شائناً ومثيراً للاشمئزاز,-0.35616374,-0.031404138,1.7300137,-0.2939342,Někdo udělal něco nechutného.,-0.51960737,-0.6443246,-1.5977966,0.43840998,Jemand hat etwas ekelhaftes getan.,-0.3504907,-0.47670147,0.74446815,-0.04248055,Someone did something disgusting.,-0.863849097548989,-0.582822191216154,0.646832651714506,-0.0258901008539105,某人做了恶心的事,-0.75215286,-0.82883567,-1.657695,-0.23090968
11,-1,هناك شخص ما قاسياً,0.061692793,-0.14689541,0.07307144,-0.49991083,Někdo byl krutý.,-0.51364326,-0.50260407,-1.3052433,0.3662922,Jemand war grausam.,-0.45509383,-0.5706483,-0.59684145,0.5378101,Someone was cruel.,-0.860830931298195,-0.562727184226045,-0.212695334468737,-0.353440937073584,某人很残忍,-1.0553789,-0.44090128,-0.60347533,-0.05610346
12,-1,هناك شخص ما قد حُرِم من حقوقه,-0.16040656,-0.37605885,1.8391799,-0.2678281,Někomu byla upřena práva,-0.42136094,-0.48773852,-1.4902675,0.7556413,Jemandem wurden seine oder ihre Rechte verweigert.,-0.64942265,-0.7498368,1.6954904,0.22780532,Someone was denied his or her rights.,-0.39078679740877,-0.794720656937176,1.23773460352554,0.600846116911293,某人的权利被忽视,-0.76615083,-0.37554348,-0.7007326,-0.41973102
13,1,أظهر شخص ما ولاءً ,0.06656663,0.71189976,0.3323037,-0.10566489,Někdo se zachoval loajálně.,0.52611643,0.17130518,-1.8813676,0.4060545,Jemand zeigt Loyalität.,0.5493306,0.56118155,-0.14858432,-0.067792855,Someone showed loyalty.,0.295100370664672,0.656392420592553,0.046124084325909,-0.286512583787441,某人显得忠诚,0.32746178,0.6324902,-0.19958377,0.2124132
14,-1,هناك تصرف نتج عنه فوضى أو اضطراب,-0.486342,-0.5874495,1.5987153,0.28469977,Něčí činy způsobily zmatek nebo nepokoj.,-0.6578793,-0.9128673,-2.3114467,0.28553882,Jemandes Handlungen haben Chaos und Unordnung verursacht.,-0.61029345,-0.5355752,1.3514123,0.19895227,An action caused chaos or disorder.,-0.592083316545487,-0.809077588446954,0.576126639388004,0.295732239847194,某种行为引起混乱无序,-0.41831884,-0.7622371,-0.9445574,-0.08108193
15,1,تصرف شخص ما بطريقة يرضى عنها الله,0.37476066,0.48182252,1.9694651,0.35744113,"Někdo jednal způsobem, který by Bůh schvaloval.",0.13691132,0.27494964,-2.1958039,0.46298066,"Jemand hat so gehandelt, dass Gott es in dieser Weise befürworten würde.",0.33936772,0.24834938,1.771779,-0.18535309,Someone acted in a way that God would approve of.,0.0646078304205022,0.482570067376088,1.43013036891924,0.53990253015302,某人的行为遵循天意,-0.15138447,0.024664877,-1.0983652,-0.19116622
16,1,الرحمة للذين يعانون هي الفضيلة الأكثر أهمية,0.1082784,0.332585,1.9206607,-0.25849152,"Soucit s těmi, kdo trpí, je nejzásadnější ctnost.",-0.11787009,-0.020504177,-2.321255,0.7658795,"Mitgefühl für die, die leiden, ist die wichtigste Tugend.",0.19199975,0.207546,1.3672832,-0.78201,Compassion for those who are suffering is the most crucial virtue.,-0.119847727661247,0.354925378682557,1.70553466272219,0.71343524729796,同情受害者是最重要的美德,-0.22337005,0.31104204,-1.7515177,-0.123578675
17,1,عندما تضع الحكومة القوانين، فالمبدأ الأول الواجب مراعاته هو التأكد من أن الجميع يعاملون معاملة عادلة,-0.07244649,0.35623327,3.3468752,-0.8861139,"Když zákonodárci tvoří zákony, nejdůležitějším principem by mělo být zajistit, že se bude s každým zacházet spravedlivě.",-0.030742915,0.1098258,-3.0771759,0.6460922,"Wenn die Regierung Gesetze erlässt, sollten diese immer so sein, dass jeder fair behandelt wird. ",-0.011651383,0.16523619,1.8609366,-0.8157688,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",-0.0630387567866355,0.287797575190357,2.24017851857227,0.807780640158462,政府制定法律的首要原则是保证每个人受到公平对待,-0.23596303,0.3890617,-2.7636898,-0.069958314
18,1,أنا فخور بتاريخ بلدي,0.4761431,0.74410135,0.34177125,-0.39783978,Jsem hrdý na dějiny své země.,0.3702782,0.22180237,-1.8546495,0.61717176,Ich bin stolz auf die Geschichte meines Landes.,0.4400432,0.6153075,1.2068845,-0.19516599,I am proud of my country’s history.,0.362547900781158,0.630754050377306,1.06523354784603,0.558060833124058,我对自己国家的历史感到骄傲,0.39973444,0.6060156,-1.3285514,0.42354518
19,1,يجب أن يتعلّم جميع الأطفال أن يحترموا السلطة,0.040392783,0.11822601,2.1000102,-0.7502884,"Respekt k autoritě je něčím, co se mají naučit všechny děti.",0.016743146,0.3082328,-2.4111297,0.74575436,Alle Kinder sollten Respekt gegenüber Authoritäten lernen.,-0.21036474,0.053479634,0.7708322,-0.11461237,Respect for authority is something all children need to learn.,0.0031854859793986,0.273064566187062,0.917422938972629,0.653644694224065,每个孩子都应该学会尊重权威,0.007859918,0.1778328,-1.7229985,0.08945334
20,-1,يستطيع الناس فعل ما يثير غضب الآخرين، ما لم يتسبّب ذلك في أذِيّة أي إنسان ,-0.2598436,-0.3984923,3.4639266,-0.7991934,"Lidé mohou dělat nechutné věci, když tím nikomu neškodí.",-0.7050321,-0.80156046,-2.279536,0.69859344,"Menschen sollten Dinge tun, die eklig sind, wenn keiner dabei gestört oder verletzt wird.",-0.3267644,-0.384939,1.713627,-0.70277923,"People should do things that are disgusting, if no one is harmed. ",-0.992814078531707,-0.527853737753696,1.80726755617125,0.72834514941927,我们应该做恶心的事，就算没有人受到伤害,-0.7704484,-0.7738849,-2.1513321,-0.37383202
21,0,,0.19337754,-0.0060966304,-7.543626,0.600598,Je lepší dělat dobro než zlo.,-0.35872087,-0.033828784,-0.93296796,1.0419954,"Es ist besser gute Dinge zu tun, als schlechte",-0.05242243,0.2129496,1.2824501,-0.86543316,It is better to do good than to do bad.,-0.055001157842876,0.199741430143705,0.740401433578804,0.488203434221849,为善好于作恶,-0.54831076,-0.2574858,-0.895681,-0.2600538
22,-1,من بين أفضل الأفعال التي يمكن يرتكبها الفرد هو أن يؤذي حيواناً ضعيفاً غير قادر على حماية نفسه,-0.6839142,-0.47283787,3.462402,-0.99303967,"Jednou z nejlepších věcí, které může člověk udělat, je zranit bezbranné zvíře.",-0.6561737,-0.5304801,-2.3142416,0.557341,"Ein wehrloses Tier zu verletzten ist eines der besten Dinge, die ein Mensch tun kann.",-0.45549744,-0.10310803,1.9039999,-1.1191963,One of the best things a person could do is hurt a defenseless animal.,-0.992072809453645,-0.549951686452233,1.65053417635311,0.659670543346164,伤害没有防备的动物是一个人能做的最好的行为之一,-0.75410414,-0.45303166,-2.4466352,-0.2664996
23,1,العدالة والإنصاف والمساواة هي أهم المتطلبات اللازمة للمجتمع,-0.0027542403,0.36177328,2.5835514,-0.3770662,Spravedlnost je nejdůležitějším základním kamenem společnosti.,-0.10657835,0.34876293,-2.8045008,0.4942673,Gerechtigkeit ist der wichtigste Grundstein für eine Gesellschaft.,-0.13847716,0.15995543,1.6832211,-0.09381774,Justice is the most important requirement for a society.,0.0566395118172407,0.109054090653096,1.20893879170704,0.427405571050894,社会最需要的是正义,-0.31927928,-0.035197046,-0.9377193,-0.22014667
24,1,ينبغي أن يكون الأفراد أوفياء لأفراد أسرهم، حتى عندما يرتكبون شيئاً خطأً,0.092580415,-0.15811299,3.411786,-0.87225413,"Lidé by měli být loajální ke členům své rodiny, i pokud ti udělali něco špatného",0.06746102,0.0023394087,-2.4247177,0.8337947,"Menschen sollten ihren Familienmitgliedern gegenüber loyal sein, auch wenn sie etwas falsches getan haben.",0.04346458,-0.09805944,1.8751677,-1.0321312,"People should be loyal to their family members, even when they have done something wrong. ",0.0594517498567838,0.0697885783792332,1.43030742031749,0.904702961069684,人们应该忠于自己的家庭成员，即便他们做错了什么,0.009412217,0.08109813,-2.4403684,0.082663864
25,1,يلعب كل من الرجال والنساء أدواراً مختلفة في المجتمع,-0.23071687,-0.07604985,2.2801344,-0.8016467,Muži a ženy mají hrát ve společnosti odlišné role.,-0.107186444,-0.092099644,-1.9024366,0.8096496,Männer und Frauen nehmen in der Gesellschaft verschiedene Rollen ein.,-0.06085072,0.11839951,1.2307113,-0.77214146,Men and women each have different roles to play in society.,0.080462705967409,-0.0724867582054646,1.30207024247174,0.600921124668078,在社会上，男女各司其职,0.1897763,0.19469146,-1.5206685,0.21950877
26,1,يمكنني أن أسمي بعض الأفعال صحيحة على أساس أنها غير طبيعية أو مثيرة للاشمئزاز ,-0.3128991,-0.27906814,3.1145616,-0.8617137,"Některé činy bych nazval správnými na základě toho, že jsou nepřirozené.",-0.32979015,-0.565882,-2.8127787,0.58100015,"Ich würde bestimmte Taten richtig finden, weil sie natürlich sind. ",-0.12533946,0.12316643,1.0780178,-0.19464347,I would call some acts right on the grounds that they are natural.,-0.155794854501344,0.1706835350475,1.72837551741165,0.700487667148805,我会称那些符合自然规律的行为是正确的行为,-0.115949534,0.17048718,-2.4759731,-0.22562918
27,-1,يمكن أن يكون من الصواب قتل اي انسان,-0.63263375,-0.86513895,1.6691947,-0.91652596,Někdy může být správné zabít lidskou bytost.,-0.9282014,-0.8148329,-2.088474,0.6062046,"Es kann richtig sein, einen Menschen zu töten.",-0.91567266,-0.57521695,1.0675778,-0.99883693,It can be right to kill a human being.,-1.02857253503877,-0.635981690193871,1.06512409792808,0.142845009046113,无论如何，杀人是对的,-0.85844433,-0.54795796,-1.4867355,-0.33867595
28,-1,أعتقد أنه من الصواب أخلاقياً أن يرث أطفال الأغنياء الكثير من الأموال في حين لا يرث أطفال الفقراء شيئاً,-0.02472154,0.31343636,3.8729804,-1.1172645,"Myslím si, že je morálně správné, že bohaté děti zdědí hodně peněz, zatímco chudé děti nezdědí nic.",0.077978335,0.085910305,-2.9602327,0.75931853,"Ich finde es moralisch richtig, dass reiche Kinder viel Geld erben während arme Kinder nichts erben. ",-0.0026124201,0.22944605,1.2731907,-1.0162746,I think it’s morally right that rich children inherit a lot of money while poor children inherit nothing.,-0.0155927372519871,0.0993252695544437,2.26929854898258,0.923096828118876,富有的孩子继承很多钱而穷孩子一无所有在道义上是正确的,0.05605324,0.14199623,-2.8638558,0.00041495558
29,1,من المهم أن تكون عضواً في فريق أكثر من أن تعبّر عن ذاتك,0.14097515,0.41951597,2.9115896,-0.95823264,"Je důležitější být týmovým hráčem, než vyjadřovat sebe sama.",0.057175085,0.011179033,-3.012168,0.82553667,"Es ist wichtiger ein guter Teamspieler zu sein, als sich selbst zu verwirklichen",-0.12597565,0.021224853,1.6448162,-0.45947328,It is more important to be a team player than to express oneself.,0.119762390071365,-0.0414302061508784,1.39352160583111,0.630911029853976,团体合作比表现自我更重要,0.2716984,0.14701013,-1.9649273,0.31876358
30,-1,لو كنت جندياً ولم أوافق على أوامر الضابط الأعلى مني فإنني لن أطيعه,-0.44900247,-0.44551477,3.2870085,-0.8133058,"Kdybych byl v armádě a nesouhlasil bych s rozkazy nadřízeného, neposlechl bych je.",-0.24339539,-0.4821441,-2.7317173,0.8912783,"Wenn ich als Soldat mit den Befehlen meines Vorgesetzten nicht einverstanden wäre, würde ich sie nicht befolgen.",-0.52304363,-0.5707954,2.2277818,-1.0209645,"If I were a soldier and disagreed with my commanding officer’s orders, I would disobey.",-0.394536907959799,-0.701074721591892,2.32603324649324,0.944612976236634,假如我是一名士兵，如果我不同意长官的命令就不会去遵守执行,-0.60327137,-0.39503404,-2.7503932,-0.11291974
31,1,تصرف شخص ما بطريقة يرضى عنها الله,0.37476066,0.48182252,1.9694651,0.35744113,Cudnost je důležitá a hodnotná ctnost.,0.0040159584,0.26568145,-2.4664328,0.70972264,Keuschheit ist eine wichtige und wertvolle Tugend.,0.21428104,0.050453786,1.0393239,-0.5981575,Chastity is an important and valuable virtue.,0.363217753712819,0.52588367360085,1.60663767657095,0.386434053862362,贞节是很重要和宝贵的德行,0.10827348,0.40681705,-1.9431183,0.13680027
