en,de,ar,cs,zh
Respect for authority is something all children need to learn.,Alle Kinder sollten Respekt gegenüber Autoritäten lernen.,"يجب أن يتعلّم جميع الأطفال أن يحترموا السلطة","Respekt k autoritě je něčím, co se mají naučit všechny děti.",每个孩子都应该学会尊重权威
"People should not do things that are disgusting, even if no one is harmed. ","Menschen sollten keine Dinge tun, die eklig sind, auch wenn keiner dabei gestört oder verletzt wird.",يجب ألا يفعل الناس ما يثير غضب الآخرين، حتى ولو لم يتسبّب في أذِيّة أي إنسان,"Lidé by neměli dělat nechutné věci, ani když jimi nikomu neškodí.",我们不应该做恶心的事，就算没有人受到伤害
It is better to do good than to do bad.,"Es ist besser gute Dinge zu tun, als schlechte",,Je lepší dělat dobro než zlo.,为善好于作恶
One of the worst things a person could do is hurt a defenseless animal.,"Ein wehrloses Tier zu verletzten ist eines der schlimmsten Dinge, die ein Mensch tun kann.",من بين أسوأ الأفعال التي يمكن يرتكبها الفرد هو أن يؤذي حيواناً ضعيفاً غير قادر على حماية نفسه,"Jednou z nejhorších věcí, které může člověk udělat, je zranit bezbranné zvíře.",伤害没有防备的动物是一个人能做的最恶劣的行为之一
Justice is the most important requirement for a society.,Gerechtigkeit ist der wichtigste Grundstein für eine Gesellschaft.,العدالة والإنصاف والمساواة هي أهم المتطلبات اللازمة للمجتمع,Spravedlnost je nejdůležitějším základním kamenem společnosti.,社会最需要的是正义
"People should be loyal to their family members, even when they have done something wrong. ","Menschen sollten ihren Familienmitgliedern gegenüber loyal sein, auch wenn sie etwas falsches getan haben.",ينبغي أن يكون الأفراد أوفياء لأفراد أسرهم، حتى عندما يرتكبون شيئاً خطأً,"Lidé by měli být loajální ke členům své rodiny, i pokud ti udělali něco špatného",人们应该忠于自己的家庭成员，即便他们做错了什么
Men and women each have different roles to play in society.,Männer und Frauen nehmen in der Gesellschaft verschiedene Rollen ein.,يلعب كل من الرجال والنساء أدواراً مختلفة في المجتمع,Muži a ženy mají hrát ve společnosti odlišné role.,在社会上，男女各司其职
I would call some acts wrong on the grounds that they are unnatural.,"Ich würde bestimmte Taten falsch finden, weil sie unnatürlich sind. ",يمكنني أن أسمي بعض الأفعال خاطئة على أساس أنها غير طبيعية أو مثيرة للاشمئزاز,"Některé činy bych nazval(a) špatnými na základě toho, že jsou nepřirozené.",我会称那些不符自然规律的行为是错误的行为
It can never be right to kill a human being.,"Es kann niemals richtig sein, einen Menschen zu töten.",لا يوجد أي حقّ في قتل أي إنسان,Nikdy nemůže být správné zabít lidskou bytost.,无论如何，杀人是不对的
I think it’s morally wrong that rich children inherit a lot of money while poor children inherit nothing.,"Ich finde es moralisch verwerflich, dass reiche Kinder viel Geld erben während arme Kinder nichts erben. ",أعتقد أنه من الخطأ أخلاقياً أن يرث أطفال الأغنياء الكثير من الأموال في حين لا يرث أطفال الفقراء شيئاً,"Myslím si, že je morálně špatné, že bohaté děti zdědí mnoho peněz, zatímco chudé děti nezdědí nic.",富有的孩子继承很多钱而穷孩子一无所有在道义上是错误的
It is more important to be a team player than to express oneself.,"Es ist wichtiger ein guter Teamspieler zu sein, als sich selbst zu verwirklichen",من المهم أن تكون عضواً في فريق أكثر من أن تعبّر عن ذاتك,"Je důležitější být týmovým hráčem, než vyjadřovat sebe sama.",团体合作比表现自我更重要
"If I were a soldier and disagreed with my commanding officer’s orders, I would obey anyway because that is my duty.","Wenn ich als Soldat mit den Befehlen meines Vorgesetzten nicht einverstanden wäre, würde ich sie aus Dienstpflicht dennoch befolgen.",لو كنت جندياً ولم أوافق على أوامر الضابط الأعلى مني فإنني سأطيعه على أيِّ حال لأن هذا هو واجبي,"Kdybych byl(a) v armádě a nesouhlasil(a) bych s rozkazy nadřízeného, stejně bych je poslechl(a), protože to je má povinnost.",假如我是一名士兵，就算我不同意长官的命令也会去遵守执行，因为那是我的责任
Chastity is an important and valuable virtue.,Keuschheit ist eine wichtige und wertvolle Tugend.,تصرف شخص ما بطريقة يرضى عنها الله,Cudnost je důležitá a hodnotná ctnost.,贞节是很重要和宝贵的德行
